,Date,Open,High,Low,Close,Adj Close,Volume
37,1996-02-21,5.996666,5.996666,5.996666,5.996666,3.902699,0.0
38,1996-02-22,5.996666,6.221111,6.127777,6.143333,3.998151,3231000.0
39,1996-02-23,6.143333,6.155555,5.98,6.064444,3.946807,3168000.0
40,1996-02-26,6.064444,6.222222,6.002222,6.078888,3.956209,4230000.0
41,1996-02-27,6.078888,6.144444,6.022222,6.06,3.943916,4432500.0
42,1996-02-28,6.06,6.218888,6.0,6.025555,3.921499,3217500.0
43,1996-02-29,6.025555,6.0,5.556666,5.645555,3.67419,8167500.0
44,1996-03-01,5.645555,5.8,5.603333,5.742222,3.737102,6880500.0
45,1996-03-04,5.742222,5.833333,5.688888,5.765555,3.752287,6084000.0
46,1996-03-05,5.765555,5.765555,5.765555,5.765555,3.752287,0.0
47,1996-03-06,5.765555,5.78,5.644444,5.758888,3.747948,3960000.0
48,1996-03-07,5.758888,5.822222,5.656666,5.686666,3.700946,4450500.0
49,1996-03-08,5.686666,5.622222,5.511111,5.603333,3.646712,5472000.0
50,1996-03-11,5.603333,5.574444,5.401111,5.45,3.54692,4653000.0
51,1996-03-12,5.45,5.444444,5.267777,5.292222,3.444237,4117500.0
52,1996-03-13,5.292222,5.733333,5.313333,5.712222,3.717578,8941500.0
53,1996-03-14,5.733333,5.866666,5.623333,5.674444,3.692992,12537000.0
54,1996-03-15,5.674444,5.711111,5.588888,5.606666,3.648882,13815000.0
55,1996-03-18,5.311111,5.373333,5.166666,5.214444,3.393618,17239500.0
56,1996-03-19,5.155555,5.311111,5.004444,5.088888,3.311905,15408000.0
57,1996-03-20,5.088888,5.088888,5.088888,5.088888,3.311905,0.0
58,1996-03-21,5.133333,5.344444,5.133333,5.232222,3.405188,10872000.0
59,1996-03-22,5.232222,5.2,4.8,4.935555,3.212113,21861000.0
60,1996-03-25,4.777777,4.777777,4.466666,4.602222,2.995178,55692000.0
61,1996-03-26,4.516666,4.866666,4.512222,4.751111,3.092077,34699500.0
